OpinionTerm,Polarity,Count,AvgLength,TopCategory
棒棒哒,正面,22,3.0,整体
自然,正面,21,2.0,功效
划算,正面,20,2.0,价格
挺不错的,正面,20,4.0,整体
超快,正面,20,2.0,物流
很水润,正面,19,3.0,使用体验
很滋润,正面,19,3.0,使用体验
超级好用,正面,19,4.0,整体
不卡粉,正面,18,3.0,使用体验
保湿,正面,18,2.0,功效
给力,正面,18,2.0,物流
不干,正面,17,2.0,使用体验
很干净,正面,17,3.0,功效
细腻,正面,17,2.0,使用体验
很温和,正面,16,3.0,使用体验
很便宜,正面,15,3.0,价格
滑滑的,正面,15,3.0,使用体验
特别好用,正面,15,4.0,整体
滋润,正面,14,2.0,使用体验
补水,正面,14,2.0,功效
不贵,正面,13,2.0,价格
五星好评,正面,13,4.0,整体
服帖,正面,13,2.0,使用体验
一如既往的好,正面,12,6.0,整体
方便,正面,12,2.0,使用体验
不过敏,正面,11,3.0,使用体验
优惠,正面,11,2.0,价格
多,正面,11,1.0,成分
好闻,正面,11,2.0,气味
干净,正面,11,2.0,功效
很方便,正面,11,3.0,整体
很补水,正面,11,3.0,功效
挺不错,正面,11,3.0,整体
赞,正面,11,1.0,整体
轻薄,正面,11,2.0,使用体验
合适,正面,10,2.0,价格
很棒,正面,10,2.0,整体
很细腻,正面,10,3.0,使用体验
很适合,正面,10,3.0,整体
很香,正面,10,2.0,气味
挺快的,正面,10,3.0,物流
提亮肤色,正面,10,4.0,功效
水润,正面,10,2.0,使用体验
特别快,正面,10,3.0,物流
超级喜欢,正面,10,4.0,整体
还行吧,正面,10,3.0,整体
不油,正面,9,2.0,使用体验
很高,正面,9,2.0,价格
清爽,正面,9,2.0,使用体验
超级划算,正面,9,4.0,价格
还好吧,正面,9,3.0,整体
非常快,正面,9,3.0,物流
香香的,正面,9,3.0,气味
高,正面,9,1.0,价格
不干燥,正面,8,3.0,使用体验
不错的,正面,8,3.0,整体
好快,正面,8,2.0,物流
很保湿,正面,8,3.0,功效
很漂亮,正面,8,3.0,包装
真心不错,正面,8,4.0,整体
超喜欢,正面,8,3.0,整体
超好用,正面,8,3.0,整体
好推开,正面,7,3.0,使用体验
完好,正面,7,2.0,包装
很合适,正面,7,3.0,价格
很好推开,正面,7,4.0,使用体验
很润,正面,7,2.0,使用体验
挺实惠,正面,7,3.0,价格
挺快,正面,7,2.0,物流
水水的,正面,7,3.0,使用体验
温和,正面,7,2.0,使用体验
点赞,正面,7,2.0,物流
物有所值,正面,7,4.0,整体
精美,正面,7,2.0,包装
经济,正面,7,2.0,价格
蛮好的,正面,7,3.0,整体
太快了,正面,6,3.0,物流
好多,正面,6,2.0,价格
好看,正面,6,2.0,包装
完整,正面,6,2.0,包装
很薄,正面,6,2.0,使用体验
挺多的,正面,6,3.0,成分
挺实惠的,正面,6,4.0,价格
挺温和的,正面,6,4.0,使用体验
挺补水的,正面,6,4.0,功效
显白,正面,6,2.0,功效
比较好用,正面,6,4.0,整体
物超所值,正面,6,4.0,整体
特别喜欢,正面,6,4.0,整体
真的好用,正面,6,4.0,整体
美美哒,正面,6,3.0,整体
非常棒,正面,6,3.0,整体
可以的,正面,5,3.0,整体
合理,正面,5,2.0,价格
大爱,正面,5,2.0,整体
好划算,正面,5,3.0,价格
强,正面,5,1.0,功效
挺划算的,正面,5,4.0,价格
挺干净,正面,5,3.0,功效
挺水润的,正面,5,4.0,使用体验
杠杠的,正面,5,3.0,整体
比较好,正面,5,3.0,使用体验
水水嫩嫩的,正面,5,5.0,使用体验
没有过敏,正面,5,4.0,使用体验
真的不错,正面,5,4.0,整体
神速,正面,5,2.0,物流
美白,正面,5,2.0,功效
超值,正面,5,2.0,价格
超级好,正面,5,3.0,整体
超级快,正面,5,3.0,物流
迅速,正面,5,2.0,物流
还是不错的,正面,5,5.0,整体
不浮粉,正面,4,3.0,使用体验
丰富,正面,4,2.0,使用体验
嫩嫩的,正面,4,3.0,使用体验
容易推开,正面,4,4.0,使用体验
很优惠,正面,4,3.0,价格
很好吸收,正面,4,4.0,使用体验
很好看,正面,4,3.0,包装
很白,正面,4,2.0,功效
很赞,正面,4,2.0,整体
挺喜欢,正面,4,3.0,整体
挺喜欢的,正面,4,4.0,整体
挺好闻的,正面,4,4.0,气味
挺滋润的,正面,4,4.0,使用体验
比较满意,正面,4,4.0,整体
没有紧绷感,正面,4,5.0,使用体验
润润的,正面,4,3.0,使用体验
清新,正面,4,2.0,气味
湿润,正面,4,2.0,使用体验
漂亮,正面,4,2.0,包装
特别多,正面,4,3.0,成分
真不错,正面,4,3.0,整体
真快,正面,4,2.0,物流
蛮好,正面,4,2.0,整体
超赞,正面,4,2.0,整体
非常舒服,正面,4,4.0,使用体验
一样,正面,3,2.0,气味
不会差,正面,3,3.0,整体
不会过敏,正面,3,4.0,使用体验
不假白,正面,3,3.0,功效
不厚重,正面,3,3.0,使用体验
不错哦,正面,3,3.0,整体
严实,正面,3,2.0,包装
亲民,正面,3,2.0,价格
便宜实惠,正面,3,4.0,价格
便宜很多,正面,3,4.0,价格
光滑,正面,3,2.0,使用体验
均匀,正面,3,2.0,功效
太棒了,正面,3,3.0,整体
太给力了,正面,3,4.0,物流
好吸收,正面,3,3.0,使用体验
好好用,正面,3,3.0,整体
完美,正面,3,2.0,物流
差不多,正面,3,3.0,整体
很光滑,正面,3,3.0,使用体验
很好的,正面,3,3.0,整体
很显白,正面,3,3.0,功效
很细,正面,3,2.0,使用体验
很细心,正面,3,3.0,包装
很轻薄,正面,3,3.0,使用体验
挺优惠的,正面,3,4.0,价格
挺便宜,正面,3,3.0,价格
挺保湿,正面,3,3.0,功效
挺保湿的,正面,3,4.0,功效
挺干净的,正面,3,4.0,功效
挺滋润,正面,3,3.0,使用体验
挺满意的,正面,3,4.0,整体
挺舒服,正面,3,3.0,整体
挺舒服的,正面,3,4.0,使用体验
挺适合,正面,3,3.0,整体
是真品,正面,3,3.0,真伪
杠杠滴,正面,3,3.0,功效
棒,正面,3,1.0,物流
棒棒的,正面,3,3.0,整体
比较划算,正面,3,4.0,价格
比较温和,正面,3,4.0,使用体验
比较自然,正面,3,4.0,功效
没有破损,正面,3,4.0,包装
没毛病,正面,3,3.0,整体
清洁,正面,3,2.0,功效
清香,正面,3,2.0,气味
特别实惠,正面,3,4.0,价格
特别温和,正面,3,4.0,使用体验
特别滋润,正面,3,4.0,使用体验
白的自然,正面,3,4.0,功效
真的很好,正面,3,4.0,整体
能接受,正面,3,3.0,价格
薄薄的,正面,3,3.0,使用体验
蛮好用的,正面,3,4.0,整体
超好,正面,3,2.0,功效
超级服帖,正面,3,4.0,使用体验
超级补水,正面,3,4.0,功效
超补水,正面,3,3.0,功效
透气,正面,3,2.0,使用体验
非常给力,正面,3,4.0,物流
5星好评,正面,2,4.0,整体
一流,正面,2,2.0,服务
一流的,正面,2,3.0,物流
一百个赞,正面,2,4.0,物流
一直用,正面,2,3.0,整体
上乘,正面,2,2.0,整体
不会很干,正面,2,4.0,使用体验
不会有,正面,2,3.0,使用体验
不会浮粉,正面,2,4.0,使用体验
不会紧绷,正面,2,4.0,使用体验
不厚,正面,2,2.0,使用体验
不脱妆,正面,2,3.0,使用体验
不高,正面,2,2.0,价格
也很好,正面,2,3.0,服务
五分好评,正面,2,4.0,整体
价廉物美,正面,2,4.0,价格
便宜了很多,正面,2,5.0,价格
便宜好多,正面,2,4.0,价格
值得信赖,正面,2,4.0,其他
充足,正面,2,2.0,成分
及时,正面,2,2.0,物流
四星,正面,2,2.0,功效
均匀肤色,正面,2,4.0,功效
增白,正面,2,2.0,功效
大,正面,2,1.0,价格
太合适,正面,2,3.0,整体
太好了,正面,2,3.0,整体
太好用了,正面,2,4.0,整体
太给力,正面,2,3.0,物流
太超值,正面,2,3.0,价格
好帖,正面,2,2.0,使用体验
好很多,正面,2,3.0,整体
实用,正面,2,2.0,整体
就是好,正面,2,3.0,物流
就是快,正面,2,3.0,物流
巨好用,正面,2,3.0,整体
平价,正面,2,2.0,价格
应该不错,正面,2,4.0,整体
很不错的,正面,2,4.0,整体
很丰富,正面,2,3.0,价格
很亲民,正面,2,3.0,价格
很值,正面,2,2.0,价格
很可爱,正面,2,3.0,整体
很均匀,正面,2,3.0,使用体验
很大,正面,2,2.0,价格
很大气,正面,2,3.0,包装
很好涂抹,正面,2,4.0,使用体验
很安全,正面,2,3.0,成分
很实在,正面,2,3.0,价格
很强,正面,2,2.0,功效
很提亮肤色,正面,2,5.0,功效
很明显,正面,2,3.0,功效
很水,正面,2,2.0,使用体验
很滑,正面,2,2.0,使用体验
很热情,正面,2,3.0,物流
很精美,正面,2,3.0,包装
很贴,正面,2,2.0,使用体验
很贴皮肤,正面,2,4.0,使用体验
很超值,正面,2,3.0,价格
快捷,正面,2,2.0,其他
快速,正面,2,2.0,物流
挺便宜的,正面,2,4.0,价格
挺合适,正面,2,3.0,包装
挺好吸收,正面,2,4.0,使用体验
挺服帖,正面,2,3.0,使用体验
挺服帖的,正面,2,4.0,使用体验
挺润的,正面,2,3.0,使用体验
挺清爽的,正面,2,4.0,使用体验
挺温和,正面,2,3.0,使用体验
挺细腻的,正面,2,4.0,使用体验
挺自然,正面,2,3.0,使用体验
挺自然的,正面,2,4.0,功效
挺薄的,正面,2,3.0,使用体验
挺补水,正面,2,3.0,功效
提亮,正面,2,2.0,功效
收缩毛孔,正面,2,4.0,功效
新款,正面,2,2.0,包装
易吸收,正面,2,3.0,使用体验
最喜欢,正面,2,3.0,整体
最好用,正面,2,3.0,整体
有点慢,正面,2,3.0,物流
柔软,正面,2,2.0,使用体验
正好,正面,2,2.0,功效
比较优惠,正面,2,4.0,价格
比较保湿,正面,2,4.0,功效
比较喜欢,正面,2,4.0,整体
比较干净,正面,2,4.0,功效
比较快,正面,2,3.0,物流
比较服帖,正面,2,4.0,使用体验
比较清爽,正面,2,4.0,使用体验
比较滋润,正面,2,4.0,使用体验
比较适合,正面,2,4.0,整体
比较高,正面,2,3.0,价格
水水润润,正面,2,4.0,使用体验
水水润润的,正面,2,5.0,使用体验
水润润的,正面,2,4.0,使用体验
没得说,正面,2,3.0,物流
没有浮粉,正面,2,4.0,使用体验
没话说,正面,2,3.0,物流
没问题,正面,2,3.0,功效
淡淡的香味,正面,2,5.0,气味
清凉,正面,2,2.0,使用体验
清透,正面,2,2.0,使用体验
温和不刺激,正面,2,5.0,使用体验
满分,正面,2,2.0,整体
热心,正面,2,2.0,服务
特别合算,正面,2,4.0,价格
特别的好,正面,2,4.0,整体
特别给力,正面,2,4.0,物流
特别自然,正面,2,4.0,功效
特别补水,正面,2,4.0,功效
特喜欢,正面,2,3.0,整体
白皙,正面,2,2.0,功效
相当不错,正面,2,4.0,整体
真心好用,正面,2,4.0,整体
真的好,正面,2,3.0,功效
真的很不错,正面,2,5.0,整体
真的很快,正面,2,4.0,物流
确实不错,正面,2,4.0,整体
粉粉的,正面,2,3.0,包装
绝对正品,正面,2,4.0,真伪
美丽,正面,2,2.0,价格
美美的,正面,2,3.0,整体
薄透,正面,2,2.0,使用体验
蛮不错的,正面,2,4.0,整体
蛮好用,正面,2,3.0,整体
蛮轻薄的,正面,2,4.0,使用体验
赞一下,正面,2,3.0,整体
赞一个,正面,2,3.0,整体
超值的,正面,2,3.0,价格
超划算,正面,2,3.0,价格
超喜欢的,正面,2,4.0,整体
超级棒,正面,2,3.0,服务
超级给力,正面,2,4.0,物流
足,正面,2,1.0,成分
较高,正面,2,2.0,价格
还不错的,正面,2,4.0,整体
还挺好的,正面,2,4.0,整体
这么便宜,正面,2,4.0,价格
适中,正面,2,2.0,使用体验
适合,正面,2,2.0,整体
速度快,正面,2,3.0,物流
遮暇,正面,2,2.0,功效
遮瑕,正面,2,2.0,功效
量大,正面,2,2.0,其他
非常合适,正面,2,4.0,价格
非常滋润,正面,2,4.0,使用体验
非常补水,正面,2,4.0,功效
飞快,正面,2,2.0,物流
666,正面,1,3.0,整体
nice,正面,1,4.0,整体
一如既往的喜欢,正面,1,7.0,整体
一抹就开,正面,1,4.0,使用体验
一整天,正面,1,3.0,功效
一点也不刺激,正面,1,6.0,使用体验
一点也不干,正面,1,5.0,使用体验
一点也不油,正面,1,5.0,使用体验
一点也不浮,正面,1,5.0,使用体验
一点也不紧绷,正面,1,6.0,使用体验
一点刺激感都没有,正面,1,8.0,使用体验
一点没问题,正面,1,5.0,使用体验
一片一片的,正面,1,5.0,使用体验
一直信赖,正面,1,4.0,整体
一直在用,正面,1,4.0,整体
一直棒棒,正面,1,4.0,整体
一直都用,正面,1,4.0,整体
一般,正面,1,2.0,整体
上档次,正面,1,3.0,包装
不会刺痛,正面,1,4.0,使用体验
不会太多,正面,1,4.0,使用体验
不会掉粉,正面,1,4.0,使用体验
不会觉得紧绷,正面,1,6.0,使用体验
不伤皮肤,正面,1,4.0,使用体验
不保湿,正面,1,3.0,功效
不假面,正面,1,3.0,功效
不刺鼻,正面,1,3.0,气味
不加白,正面,1,3.0,功效
不壳粉,正面,1,3.0,使用体验
不多,正面,1,2.0,成分
不够细腻,正面,1,4.0,使用体验
不太刺激,正面,1,4.0,使用体验
不夸张,正面,1,3.0,功效
不好晕开,正面,1,4.0,使用体验
不少,正面,1,2.0,价格
不差,正面,1,2.0,整体
不干涩,正面,1,3.0,使用体验
不干皮,正面,1,3.0,使用体验
不怎么油腻,正面,1,5.0,使用体验
不拉眼,正面,1,3.0,使用体验
不敏感,正面,1,3.0,使用体验
不是很好,正面,1,4.0,功效
不是很好吸收,正面,1,6.0,使用体验
不是特别显白,正面,1,6.0,功效
不是特别油,正面,1,5.0,使用体验
不是特别油腻,正面,1,6.0,使用体验
不是特别白,正面,1,5.0,功效
不是那么白,正面,1,5.0,功效
不是那种特别厚重的百,正面,1,10.0,功效
不沙眼睛,正面,1,4.0,使用体验
不油不腻,正面,1,4.0,使用体验
不泛白,正面,1,3.0,功效
不浓重,正面,1,3.0,气味
不浮夸,正面,1,3.0,功效
不痒,正面,1,2.0,使用体验
不算太贵,正面,1,4.0,价格
不算贵,正面,1,3.0,价格
不算高,正面,1,3.0,价格
不粘,正面,1,2.0,使用体验
不粘稠,正面,1,3.0,使用体验
不紧崩,正面,1,3.0,使用体验
不腻,正面,1,2.0,使用体验
不蜕皮,正面,1,3.0,使用体验
不觉得油腻,正面,1,5.0,使用体验
不起干皮,正面,1,4.0,使用体验
不起皮,正面,1,3.0,使用体验
不跑妆,正面,1,3.0,使用体验
不遮眼睛,正面,1,4.0,使用体验
不错不错,正面,1,4.0,整体
不长闭合,正面,1,4.0,使用体验
不黏不腻,正面,1,4.0,使用体验
不黏糊糊,正面,1,4.0,使用体验
专业,正面,1,2.0,物流
丝润,正面,1,2.0,使用体验
丝薄,正面,1,2.0,使用体验
也快,正面,1,2.0,物流
买的值,正面,1,3.0,价格
五星,正面,1,2.0,整体
亮亮的,正面,1,3.0,功效
亮白,正面,1,2.0,功效
亮肤,正面,1,2.0,功效
人很好,正面,1,3.0,物流
仔细,正面,1,2.0,包装
优惠多多,正面,1,4.0,价格
优惠很多,正面,1,4.0,价格
优秀,正面,1,2.0,整体
优雅,正面,1,2.0,气味
低一点,正面,1,3.0,价格
佩服,正面,1,2.0,物流
便宜一点,正面,1,4.0,价格
便宜不少,正面,1,4.0,价格
便宜了好多,正面,1,5.0,价格
便宜又实惠,正面,1,5.0,价格
便宜多了,正面,1,4.0,价格
便宜太多了,正面,1,5.0,价格
便宜得多,正面,1,4.0,价格
修正肤色,正面,1,4.0,功效
修饰肤色,正面,1,4.0,功效
值得推荐,正面,1,4.0,整体
值得点赞,正面,1,4.0,物流
像正品,正面,1,3.0,真伪
光光的,正面,1,3.0,使用体验
光洁,正面,1,2.0,使用体验
冰冰凉凉,正面,1,4.0,使用体验
出乎意外的快,正面,1,6.0,物流
出奇的快,正面,1,4.0,物流
分量足,正面,1,3.0,其他
划算多了,正面,1,4.0,价格
刚刚合适,正面,1,4.0,使用体验
刚好,正面,1,2.0,尺寸
到位,正面,1,2.0,价格
到家,正面,1,2.0,物流
卸得干净,正面,1,4.0,功效
去除暗沉,正面,1,4.0,功效
又划算,正面,1,3.0,价格
又白又亮,正面,1,4.0,功效
变白,正面,1,2.0,功效
变白了,正面,1,3.0,功效
可以哦,正面,1,3.0,整体
可以啊,正面,1,3.0,整体
可遮瑕,正面,1,3.0,功效
合算,正面,1,2.0,价格
听服帖,正面,1,3.0,使用体验
听水嫩的,正面,1,4.0,使用体验
听湿润,正面,1,3.0,使用体验
吸收,正面,1,2.0,使用体验
周到,正面,1,2.0,服务
哑光质感,正面,1,4.0,使用体验
唯美,正面,1,2.0,使用体验
喜欢喜欢,正面,1,4.0,整体
喜欢的,正面,1,3.0,气味
多块,正面,1,2.0,物流
多多优惠,正面,1,4.0,价格
多多促销,正面,1,4.0,价格
够快,正面,1,2.0,物流
够用了,正面,1,3.0,功效
大气上档次,正面,1,5.0,使用体验
大爱呀,正面,1,3.0,整体
大赞,正面,1,2.0,整体
太划算,正面,1,3.0,价格
太划算了,正面,1,4.0,价格
太合适了,正面,1,4.0,整体
太好,正面,1,2.0,功效
太差劲了,正面,1,4.0,物流
太方便了,正面,1,4.0,使用体验
太简陋了点,正面,1,5.0,包装
太赞了,正面,1,3.0,整体
好一点,正面,1,3.0,整体
好上妆,正面,1,3.0,使用体验
好使,正面,1,2.0,整体
好便宜,正面,1,3.0,价格
好卸妆,正面,1,3.0,功效
好合算,正面,1,3.0,价格
好喜欢,正面,1,3.0,整体
好多了,正面,1,3.0,整体
好好的,正面,1,3.0,整体
好实惠,正面,1,3.0,价格
好干,正面,1,2.0,使用体验
好干净,正面,1,3.0,使用体验
好开心,正面,1,3.0,整体
好得不得了,正面,1,5.0,整体
好快就到,正面,1,4.0,物流
好惊喜,正面,1,3.0,整体
好有分量,正面,1,4.0,价格
好有爱,正面,1,3.0,服务
好服务,正面,1,3.0,物流
好服帖,正面,1,3.0,使用体验
好极了,正面,1,3.0,整体
好洗,正面,1,2.0,使用体验
好清淡,正面,1,3.0,气味
好清爽,正面,1,3.0,使用体验
好用爆了,正面,1,4.0,整体
好用的,正面,1,3.0,整体
好的,正面,1,2.0,整体
好的很,正面,1,3.0,整体
好的没话说,正面,1,5.0,整体
好精致,正面,1,3.0,整体
好自然,正面,1,3.0,功效
好舒服,正面,1,3.0,使用体验
好香,正面,1,2.0,气味
好，棒,正面,1,3.0,整体
好，用,正面,1,3.0,整体
妥妥的,正面,1,3.0,整体
完好无损,正面,1,4.0,包装
实在,正面,1,2.0,价格
容易上妆,正面,1,4.0,功效
容易上装,正面,1,4.0,使用体验
容易冲洗,正面,1,4.0,使用体验
容易吸收,正面,1,4.0,使用体验
容易打开,正面,1,4.0,使用体验
容易抹开,正面,1,4.0,使用体验
容易清洁,正面,1,4.0,使用体验
对的起,正面,1,3.0,价格
常快,正面,1,2.0,物流
平民价,正面,1,3.0,价格
应该不错的,正面,1,5.0,整体
应该也不错,正面,1,5.0,整体
应该可以,正面,1,4.0,整体
应该挺好的,正面,1,5.0,整体
应该是真的,正面,1,5.0,真伪
应该还可以,正面,1,5.0,整体
廉,正面,1,1.0,价格
开心,正面,1,2.0,整体
强力推荐,正面,1,4.0,整体
强大,正面,1,2.0,物流
很一般,正面,1,3.0,功效
很严实,正面,1,3.0,包装
很亮,正面,1,2.0,功效
很亲和,正面,1,3.0,使用体验
很保水,正面,1,3.0,功效
很修复,正面,1,3.0,功效
很充足,正面,1,3.0,成分
很准时,正面,1,3.0,物流
很划来,正面,1,3.0,价格
很划算的,正面,1,4.0,价格
很到位,正面,1,3.0,包装
很去油,正面,1,3.0,使用体验
很可以,正面,1,3.0,整体
很合理,正面,1,3.0,价格
很喜欢用,正面,1,4.0,整体
很多泡泡,正面,1,4.0,使用体验
很好涂开,正面,1,4.0,使用体验
很实用,正面,1,3.0,整体
很容易,正面,1,3.0,功效
很帮,正面,1,2.0,其他
很常满意,正面,1,4.0,整体
很平整,正面,1,3.0,使用体验
很开心,正面,1,3.0,整体
很彻底,正面,1,3.0,功效
很很用的,正面,1,4.0,整体
很快的,正面,1,3.0,物流
很惊喜,正面,1,3.0,价格
很持久,正面,1,3.0,功效
很持妆,正面,1,3.0,功效
很接近肤色,正面,1,5.0,功效
很控油,正面,1,3.0,功效
很提肤色,正面,1,4.0,功效
很放心,正面,1,3.0,整体
很敬业,正面,1,3.0,物流
很方便的,正面,1,4.0,其他
很是划算,正面,1,4.0,价格
很是给力,正面,1,4.0,物流
很有新意,正面,1,4.0,使用体验
很有用,正面,1,3.0,整体
很有耐心,正面,1,4.0,服务
很服贴,正面,1,3.0,使用体验
很柔暖,正面,1,3.0,使用体验
很柔滑,正面,1,3.0,使用体验
很棒了,正面,1,3.0,整体
很正,正面,1,2.0,功效
很水嫩,正面,1,3.0,使用体验
很清新,正面,1,3.0,气味
很清爽保湿,正面,1,5.0,使用体验
很清爽舒服,正面,1,5.0,使用体验
很湿润,正面,1,3.0,使用体验
很滋养,正面,1,3.0,使用体验
很滑嫩,正面,1,3.0,使用体验
很满足,正面,1,3.0,整体
很熟悉,正面,1,3.0,气味
很熟服,正面,1,3.0,使用体验
很爽,正面,1,2.0,使用体验
很礼貌,正面,1,3.0,物流
很简陋,正面,1,3.0,包装
很紧密,正面,1,3.0,包装
很美丽,正面,1,3.0,价格
很耐心,正面,1,3.0,服务
很舒适,正面,1,3.0,使用体验
很衬肤色,正面,1,4.0,功效
很负责,正面,1,3.0,物流
很贴合肤色,正面,1,5.0,使用体验
很贴心,正面,1,3.0,包装
很贴肤,正面,1,3.0,使用体验
很贴脸,正面,1,3.0,使用体验
很轻薄透亮,正面,1,5.0,使用体验
很迷你,正面,1,3.0,包装
很透,正面,1,2.0,使用体验
很速度,正面,1,3.0,物流
很高兴,正面,1,3.0,整体
很高大上,正面,1,4.0,整体
很高大尚,正面,1,4.0,包装
微微一点白,正面,1,5.0,功效
总体满意,正面,1,4.0,整体
感觉不错,正面,1,4.0,整体
持久,正面,1,2.0,使用体验
挺ok的,正面,1,4.0,使用体验
挺上色,正面,1,3.0,功效
挺亮白的,正面,1,4.0,功效
挺划算,正面,1,3.0,价格
挺可以,正面,1,3.0,功效
挺合适的,正面,1,4.0,整体
挺喜欢用的,正面,1,5.0,整体
挺多多的,正面,1,4.0,成分
挺好上妆,正面,1,4.0,功效
挺好了,正面,1,3.0,整体
挺好看的,正面,1,4.0,包装
挺小只,正面,1,3.0,尺寸
挺显白的,正面,1,4.0,使用体验
挺水润,正面,1,3.0,使用体验
挺流的,正面,1,3.0,整体
挺淡,正面,1,2.0,气味
挺清淡的,正面,1,4.0,气味
挺湿润,正面,1,3.0,使用体验
挺湿润的,正面,1,4.0,使用体验
挺滋润补水的,正面,1,6.0,使用体验
挺满意,正面,1,3.0,整体
挺漂亮的,正面,1,4.0,整体
挺环保,正面,1,3.0,其他
挺精致,正面,1,3.0,包装
挺细腻,正面,1,3.0,使用体验
挺给力,正面,1,3.0,物流
挺薄,正面,1,2.0,使用体验
挺超值的,正面,1,4.0,价格
挺足的,正面,1,3.0,成分
挺轻薄的,正面,1,4.0,使用体验
挺迅速的,正面,1,4.0,物流
挺通透的,正面,1,4.0,使用体验
挺遮瑕,正面,1,3.0,功效
挺香的,正面,1,3.0,气味
接近肤色,正面,1,4.0,功效
提亮偏黄的肤色,正面,1,7.0,功效
提好用,正面,1,3.0,整体
提好的,正面,1,3.0,整体
支持,正面,1,2.0,整体
改善肤色,正面,1,4.0,功效
放心,正面,1,2.0,整体
效果好,正面,1,3.0,整体
效果明显,正面,1,4.0,整体
效率超级高,正面,1,5.0,物流
新,正面,1,1.0,包装
新鲜,正面,1,2.0,新鲜度
无异常,正面,1,3.0,整体
无异常不适,正面,1,5.0,使用体验
无比的高大上,正面,1,6.0,整体
无紧绷感,正面,1,4.0,使用体验
无负担,正面,1,3.0,功效
明显,正面,1,2.0,功效
易推开,正面,1,3.0,使用体验
易涂开,正面,1,3.0,使用体验
